country_name,country_code,indicator_name,indicator_code,Ano,Valor
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1967,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1967,""
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1967,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1967,4
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1968,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1968,"1,100,000"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1968,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1968,""
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1968,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1968,""
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1968,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1968,4
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1969,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1969,"1,100,000"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1969,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1969,""
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1969,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1969,""
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1969,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1969,4
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1970,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1970,"1,287,000"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1970,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1970,0
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1970,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1970,0
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1970,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1970,5
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1971,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1971,"1,287,000"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1971,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1971,""
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1971,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1971,""
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1971,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1971,5
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1972,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1972,"1,287,000"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1972,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1972,""
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1972,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1972,""
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1972,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1972,5
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1973,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1973,"1,287,000"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1973,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1973,""
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1973,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1973,""
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1973,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1973,5
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1974,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1974,"1,287,000"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1974,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1974,""
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1974,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1974,""
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1974,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1974,5
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1975,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1975,"1,651,000"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1975,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1975,0
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1975,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1975,0
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1975,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1975,6
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1976,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1976,"1,678,000"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1976,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1976,0
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1976,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1976,0
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1976,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1976,6
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1977,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1977,"1,692,000"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1977,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1977,0
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1977,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1977,0
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1977,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1977,6
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1978,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1978,"1,728,000"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1978,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1978,0
Argentina,ARG,Suscripciones a banda ancha fija (por cada 100 personas),IT.NET.BBND.P2,1978,""
Argentina,ARG,Suscripciones a telefonía celular móvil (por cada 100 personas),IT.CEL.SETS.P2,1978,0
Argentina,ARG,Servidores de Internet seguros (por cada millón de personas),IT.NET.SECR.P6,1978,""
Argentina,ARG,Suscripciones a telefonía fija (por cada 100 personas),IT.MLT.MAIN.P2,1978,6
Argentina,ARG,Servidores de Internet seguros,IT.NET.SECR,1979,""
Argentina,ARG,Suscripciones a telefonía fija,IT.MLT.MAIN,1979,"1,797,000"
Argentina,ARG,Suscripciones a banda ancha fija,IT.NET.BBND,1979,""
Argentina,ARG,Suscripciones a telefonía celular móvil,IT.CEL.SETS,1979,0
